time/s	                cycle number	        ox/red	Ewe/V	        I/mA	        Capacity/mA.h	Unnamed: 6
401696.0662468204	26.0	0	3.9795387	-90.010551	0.3713315239783394	
401696.4208465554	26.0	0	3.9785078	-90.012466	0.3801973042623733	
401696.7912462838	26.0	0	3.9774961	-90.010551	0.3894580850613913	
401697.1564460067	26.0	0	3.9764843	-90.008644	0.3985888566992019	
401697.5292457272	26.0	0	3.9754343	-90.0131	0.4079096297933791	
401697.8888454624	26.0	0	3.9744034	-90.009918	0.4169003827022977	
401698.2768451693	26.0	0	3.9732962	-90.004814	0.4266011927346124	
401698.6928448654	26.0	0	3.9722271	-90.005455	0.4370020496300592	
401699.0776445754	26.0	0	3.9711964	-90.012466	0.446622855419159	
401699.4578442872	26.0	0	3.9701655	-90.009277	0.4561286728244359	
401699.8558439985	26.0	0	3.9691536	-90.004814	0.4660795334879558	
401700.2464437024	26.0	0	3.9681418	-90.002274	0.4758453716829089	
401700.6372434162	26.0	0	3.9671302	-90.002907	0.4856162021861608	
401701.0448431112	26.0	0	3.9661183	-90.016289	0.4958070646553041	
401701.4370428165	26.0	0	3.9650874	-90.006096	0.5056129087460838	
401701.8368425132	26.0	0	3.9640565	-90.006096	0.5156087644653322	
401702.2728421874	26.0	0	3.9629683	-90.009918	0.5265097025973003	
401702.7104418613	26.0	0	3.9619567	-90.011833	0.537450663872613	
401703.1068415754	26.0	0	3.9609449	-90.005455	0.547361517443763	
401703.5440412499	26.0	0	3.9598758	-90.008644	0.5582924458647835	
401703.9892409109	26.0	0	3.958864	-90.009277	0.5694233944545324	
401704.4034406054	26.0	0	3.9578331	-90.011185	0.5797792635307314	
401704.844240279	26.0	0	3.9568024	-90.011185	0.5908002023451066	
401705.3176399292	26.0	0	3.9557714	-90.008644	0.6026362003334895	
401705.7454396044	26.0	0	3.9547405	-90.008003	0.6133321294216582	
401706.1698392928	26.0	0	3.9537096	-90.006729	0.6239430128415427	
401706.6034389734	26.0	0	3.9526978	-90.00354	0.6347839388898215	
401707.0692386264	26.0	0	3.9516861	-90.007362	0.6464298928760954	
401707.5308382767	26.0	0	3.9506743	-90.006096	0.6579708763262433	
401707.9724379499	26.0	0	3.9496434	-90.002274	0.669011836632199	
401708.4522375911	26.0	0	3.9486125	-90.000992	0.6810078763715959	
401708.9264372326	26.0	0	3.9476008	-90.008003	0.692863898935954	
401709.3782369022	26.0	0	3.946589	-90.004814	0.7041598576990765	
401709.838836554	26.0	0	3.9455771	-90.008644	0.7156758352550933	
401710.306636204	26.0	0	3.9445653	-90.011185	0.727371794600593	
401710.7992358394	26.0	0	3.9435537	-90.009918	0.7396878464130828	
401711.2840354817	26.0	0	3.9425418	-90.005455	0.7518088637729223	
401711.7598351315	26.0	0	3.94153	-90.009918	0.7637048745312164	
401712.2484347608	26.0	0	3.9405181	-90.011833	0.7759209241989986	
401712.7400343902	26.0	0	3.9395065	-90.011833	0.7882119895197554	
401713.2306340337	26.0	0	3.9384947	-90.006729	0.8004780358937584	
401713.7260336676	26.0	0	3.9374828	-90.008003	0.8128640954822967	
401714.26503326	26.0	0	3.9364712	-90.007362	0.8263402486364579	
401714.7730328739	26.0	0	3.9354594	-90.004814	0.8390413141466779	
401715.2714325041	26.0	0	3.9344475	-90.006729	0.8515023628408647	
401715.7904321291	26.0	0	3.9334357	-90.004181	0.8644784362602237	
401716.316231733	26.0	0	3.9324241	-90.0131	0.8776245525919599	
401716.8412313384	26.0	0	3.9314122	-90.009918	0.8907506757079233	
401717.3618309498	26.0	0	3.9303241	-90.006096	0.9037667726190358	
401717.9214305356	26.0	0	3.9292741	-90.011185	0.9177579916805694	
401718.5112300999	26.0	0	3.9282622	-90.008644	0.9325042760022484	
401719.040229708	26.0	0	3.9272316	-90.008644	0.9457304264751012	
401719.5744293071	26.0	0	3.9262006	-90.007362	0.9590865642064416	
401720.169828862	26.0	0	3.9251888	-90.013741	0.9739727852393258	
